x,V,I
1.000000000000000e+000,1.998002e-003,1.998002e-003
1.100000000000000e+001,2.176063e-002,1.978239e-003
2.100000000000000e+001,4.113614e-002,1.958864e-003
3.100000000000000e+001,6.013579e-002,1.939864e-003
4.100000000000000e+001,7.877041e-002,1.921230e-003
5.100000000000000e+001,9.705043e-002,1.902950e-003
6.100000000000000e+001,1.149859e-001,1.885014e-003
7.100000000000000e+001,1.325864e-001,1.867414e-003
8.100000000000000e+001,1.498612e-001,1.850139e-003
9.100000000000000e+001,1.668194e-001,1.833181e-003
1.010000000000000e+002,1.834696e-001,1.816530e-003
1.110000000000000e+002,1.998200e-001,1.800180e-003
1.210000000000000e+002,2.158787e-001,1.784121e-003
1.310000000000000e+002,2.316534e-001,1.768347e-003
1.410000000000000e+002,2.471516e-001,1.752848e-003
1.510000000000000e+002,2.623805e-001,1.737620e-003
1.610000000000000e+002,2.773471e-001,1.722653e-003
1.710000000000000e+002,2.920581e-001,1.707942e-003
1.810000000000000e+002,3.065199e-001,1.693480e-003
1.910000000000000e+002,3.207389e-001,1.679261e-003
2.010000000000000e+002,3.347211e-001,1.665279e-003
2.110000000000000e+002,3.484723e-001,1.651528e-003
2.210000000000000e+002,3.619983e-001,1.638002e-003
2.310000000000000e+002,3.753046e-001,1.624695e-003
2.410000000000000e+002,3.883964e-001,1.611604e-003
2.510000000000000e+002,4.012790e-001,1.598721e-003
2.610000000000000e+002,4.139572e-001,1.586043e-003
2.710000000000000e+002,4.264359e-001,1.573564e-003
2.810000000000000e+002,4.387197e-001,1.561280e-003
2.910000000000000e+002,4.508133e-001,1.549187e-003
3.010000000000000e+002,4.627210e-001,1.537279e-003
3.110000000000000e+002,4.744470e-001,1.525553e-003
3.210000000000000e+002,4.859955e-001,1.514005e-003
3.310000000000000e+002,4.973704e-001,1.502630e-003
3.410000000000000e+002,5.085757e-001,1.491424e-003
3.510000000000000e+002,5.196151e-001,1.480385e-003
3.610000000000000e+002,5.304923e-001,1.469508e-003
3.710000000000000e+002,5.412108e-001,1.458789e-003
3.810000000000000e+002,5.517741e-001,1.448226e-003
3.910000000000000e+002,5.621855e-001,1.437815e-003
4.010000000000000e+002,5.724483e-001,1.427552e-003
4.110000000000000e+002,5.825655e-001,1.417434e-003
4.210000000000000e+002,5.925404e-001,1.407459e-003
4.310000000000000e+002,6.023760e-001,1.397624e-003
4.410000000000000e+002,6.120750e-001,1.387925e-003
4.510000000000000e+002,6.216403e-001,1.378360e-003
4.610000000000000e+002,6.310746e-001,1.368925e-003
4.710000000000000e+002,6.403807e-001,1.359619e-003
4.810000000000000e+002,6.495611e-001,1.350439e-003
4.910000000000000e+002,6.586184e-001,1.341382e-003
5.010000000000000e+002,6.675550e-001,1.332445e-003
5.110000000000000e+002,6.763732e-001,1.323627e-003
5.210000000000000e+002,6.850756e-001,1.314924e-003
5.310000000000000e+002,6.936643e-001,1.306336e-003
5.410000000000000e+002,7.021415e-001,1.297859e-003
5.510000000000000e+002,7.105094e-001,1.289491e-003
5.610000000000000e+002,7.187700e-001,1.281230e-003
5.710000000000000e+002,7.269256e-001,1.273074e-003
5.810000000000000e+002,7.349778e-001,1.265022e-003
5.910000000000000e+002,7.429290e-001,1.257071e-003
6.010000000000000e+002,7.507808e-001,1.249219e-003
6.110000000000000e+002,7.585351e-001,1.241465e-003
6.210000000000000e+002,7.661937e-001,1.233806e-003
6.310000000000000e+002,7.737584e-001,1.226242e-003
6.410000000000000e+002,7.812310e-001,1.218769e-003
6.510000000000000e+002,7.886130e-001,1.211387e-003
6.610000000000000e+002,7.959061e-001,1.204094e-003
6.710000000000000e+002,8.031119e-001,1.196888e-003
6.810000000000000e+002,8.102320e-001,1.189768e-003
6.910000000000000e+002,8.172679e-001,1.182732e-003
7.010000000000000e+002,8.242211e-001,1.175779e-003
7.110000000000000e+002,8.310930e-001,1.168907e-003
7.210000000000000e+002,8.378850e-001,1.162115e-003
7.310000000000000e+002,8.445985e-001,1.155401e-003
